lipa20b,27076,20,27076,0.0,1.0,27076,27076,27076,27076,27076,27076,27076,27076,27076,27076,27076
lipa30b,151426,30,151426,0.0,1.0,151426,151426,151426,151426,151426,151426,151426,151426,151426,151426,151426
lipa40b,476581,40,476581,0.0,1.0,476581,476581,476581,476581,476581,476581,476581,476581,476581,476581,476581
lipa50b,1210244,50,1210244,0.0,1.0,1249350,1416229,1309678,1210244,1210244,1415587,1417375,1379454,1366131,1210244,1318453
lipa60b,2520135,60,2962643,0.1755890061445121,0.43333333333333335,2999325,2994306,2962643,2996137,2995573,2996873,2995439,2998806,3001599,2995366,2993606
lipa70b,4603200,70,5418656,0.17714980882864095,0.5142857142857142,5530071,5418656,5523368,5532175,5523463,5530633,5531585,5529918,5506278,5528419,5515456
lipa80b,7763962,80,9415531,0.21272244763691528,0.025,9434354,9438746,9415531,9430239,9443351,9439663,9436147,9450612,9441087,9429078,9435880
lipa90b,12490441,90,15247909,0.22076626437769492,0.011111111111111112,15247909,15277783,15279331,15266167,15268714,15282874,15273306,15269778,15265169,15281583,15271261
