chr12a,9552,11,9552,0.0,1.0,9552,9552,9552,9552,9552,9552,,,,,9552
chr12b,9742,11,9742,0.0,1.0,9742,9742,9742,9742,9742,9742,,,,,9742
chr12c,11156,11,11156,0.0,1.0,11156,11156,11156,11156,11186,11156,,,,,11161
chr15a,9896,14,9936,0.004042037186742118,0.21428571428571427,9936,10572,9978,10440,10356,10968,,,,,10375
chr15b,7990,14,7990,0.0,1.0,8210,10090,7990,10020,8626,,,,,,8987
chr15c,9504,14,9504,0.0,1.0,10790,10446,9504,10678,9504,,,,,,10184
chr18a,11098,17,11282,0.016579563885384754,0.0,14300,11282,13746,13170,13316,,,,,,13162
chr18b,1534,17,1534,0.0,0.0,1534,1534,1570,1534,1534,1534,,,,,1540
chr20a,2192,19,2352,0.072992700729927,0.21052631578947367,2376,2536,2598,2446,2380,2352,,,,,2448
chr20b,2298,19,2532,0.10182767624020887,0.0,2552,2532,2626,2642,2582,2622,,,,,2592
chr20c,14142,19,15770,0.11511808796492717,0.7368421052631579,17014,15770,18512,16870,16990,,,,,,17031
chr22a,6156,21,6176,0.003248862897985705,0.8571428571428571,6196,6236,6358,6372,6380,6176,,,,,6286
chr22b,6194,21,6278,0.013561511139812722,0.6190476190476191,6404,6372,6278,6428,6306,6366,,,,,6359
chr25a,3796,24,4702,0.2386722866174921,0.4166666666666667,5088,4702,4754,5054,4962,4702,,,,,4877
